Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay
WN,14107,11292,1,-8
WN,14107,11292,-1,-8
WN,14107,11433,30,29
WN,14107,11433,3,-11
WN,14107,11618,15,18
WN,14107,11697,4,5
WN,14107,12191,39,42
WN,14107,12191,2,-11
WN,14107,12191,12,-2
WN,14107,12191,20,11
WN,14107,12339,1,-14
WN,14107,12339,1,-13
WN,14107,12889,-5,-6
WN,14107,12889,-5,9
WN,14107,12889,-3,1
WN,14107,12889,-3,-3
WN,14107,12889,-3,-16
WN,14107,12889,-2,-11
WN,14107,12889,-6,-6
WN,14107,12889,4,-10
WN,14107,12889,6,10
WN,14107,12889,0,-5
WN,14107,12889,30,23
WN,14107,12889,-4,-1
WN,14107,12889,23,16
WN,14107,12892,26,31
WN,14107,12892,1,-9
WN,14107,12892,15,5
WN,14107,12892,-2,-2
WN,14107,12892,2,12
WN,14107,12892,-2,-16
WN,14107,12892,2,-7
WN,14107,12892,12,7
WN,14107,12892,7,6
WN,14107,13198,-2,-16
WN,14107,13198,8,-5
WN,14107,13198,9,-11
WN,14107,13198,7,-9
WN,14107,13204,12,-14
WN,14107,13232,10,-5
WN,14107,13232,2,-12
WN,14107,13232,12,-3
WN,14107,13232,0,-12
WN,14107,13232,9,-6
WN,14107,13232,13,-3
WN,14107,13232,7,-10
WN,14107,13342,62,50
WN,14107,13342,6,4
WN,14107,13342,17,2
WN,14107,13487,24,17
WN,14107,13487,1,-9
WN,14107,13495,15,-1
WN,14107,13796,0,-2
WN,14107,13796,11,5
WN,14107,13796,-2,-17
WN,14107,13796,-3,-11
WN,14107,13796,0,-6
WN,14107,13796,1,1
WN,14107,13851,1,-8
WN,14107,13851,36,43
WN,14107,13871,8,0
WN,14107,13871,12,-4
WN,14107,13891,-2,-1
WN,14107,13891,0,-2
WN,14107,13891,9,11
WN,14107,13891,2,-7
WN,14107,13891,10,3
WN,14107,13891,-4,-1
WN,14107,14057,29,11
WN,14107,14057,10,-1
WN,14107,14057,5,-18
WN,14107,14100,18,-11
WN,14107,14122,-2,-17
WN,14107,14492,6,-5
WN,14107,14570,2,-8
WN,14107,14570,9,6
WN,14107,14679,10,-4
WN,14107,14679,-1,-9
WN,14107,14679,7,7
WN,14107,14679,-3,-13
WN,14107,14679,20,6
WN,14107,14679,-2,-12
WN,14107,14679,-6,-15
WN,14107,14679,52,42
WN,14107,14679,1,-8
WN,14107,14679,-2,-7
WN,14107,14679,2,-3
WN,14107,14679,-1,-6
WN,14107,14683,34,20
WN,14107,14683,35,37
WN,14107,14683,6,-1
WN,14107,14730,12,12
WN,14107,14747,-6,-13
WN,14107,14747,7,-10
WN,14107,14747,-2,-20
WN,14107,14747,-1,-19
WN,14107,14771,73,77
WN,14107,14771,1,4
WN,14107,14771,-3,-1
WN,14107,14771,7,1
WN,14107,14771,11,-3
WN,14107,14831,4,3
WN,14107,14831,6,1
WN,14107,14831,11,10
WN,14107,14831,8,0
WN,14107,14831,-6,-11
WN,14107,14831,-1,-12
WN,14107,14869,32,33
WN,14107,14869,4,8
WN,14107,14869,-4,-18
WN,14107,14869,-4,-13
WN,14107,14869,-1,-5
WN,14107,14869,-2,-9
WN,14107,14869,10,2
WN,14107,14893,0,-16
WN,14107,14893,3,-6
WN,14107,14893,11,11
WN,14107,14893,0,-13
WN,14107,14893,57,37
WN,14107,14908,0,10
WN,14107,14908,0,3
WN,14107,14908,-4,-10
WN,14107,14908,10,6
WN,14107,14908,10,2
WN,14107,14908,11,11
WN,14107,14908,5,1
WN,14107,15016,7,-5
WN,14107,15016,0,-15
WN,14107,15016,36,29
WN,14107,15304,7,0
WN,14122,10821,-1,-2
WN,14122,10821,-1,-6
WN,14122,10821,-4,-8
WN,14122,10821,70,70
WN,14122,11292,33,40
WN,14122,12889,-5,-14
WN,14122,12889,13,14
WN,14122,13204,-6,-3
WN,14122,13204,-6,-7
WN,14122,13232,0,12
WN,14122,13232,22,16
